n_ops, s_size, gpu, cpu
16,200000,0.000163936,1.024e-06
16,200000,0.000165984,1.056e-06
16,200000,0.00016368,1.056e-06
16,200000,0.000164384,1.056e-06
16,200000,0.000168128,1.088e-06
16,200000,0.00019264,1.056e-06
32,2000,2.7456e-05,1.408e-06
32,2000,2.4704e-05,1.056e-06
32,2000,2.3616e-05,1.056e-06
32,2000,2.2656e-05,1.056e-06
32,2000,2.3168e-05,1.056e-06
32,2000,2.432e-05,1.088e-06
32,2000,2.384e-05,1.056e-06
32,2000,2.2208e-05,1.056e-06
32,2000,2.2624e-05,1.088e-06
32,2000,2.2336e-05,1.088e-06
32,20000,3.6704e-05,1.088e-06
32,20000,3.664e-05,1.056e-06
32,20000,3.6992e-05,1.088e-06
32,20000,3.4944e-05,1.056e-06
32,20000,3.5872e-05,1.056e-06
32,20000,3.4976e-05,1.088e-06
32,20000,3.456e-05,1.056e-06
32,20000,3.6544e-05,1.056e-06
32,20000,3.5744e-05,1.056e-06
32,20000,3.4624e-05,1.056e-06
32,200000,0.000311168,1.088e-06
32,200000,0.000164832,1.056e-06
32,200000,0.000172032,1.12e-06
32,200000,0.000162848,1.12e-06
32,200000,0.000163232,1.088e-06
32,200000,0.000162144,1.056e-06
32,200000,0.00017104,1.44e-06
32,200000,0.000162624,1.088e-06
32,200000,0.000162688,1.056e-06
32,200000,0.000171328,1.056e-06
64,2000,2.5376e-05,1.152e-06
64,2000,2.496e-05,1.056e-06
64,2000,2.4544e-05,1.088e-06
64,2000,2.2784e-05,1.056e-06
64,2000,2.336e-05,1.088e-06
64,2000,2.32e-05,1.216e-06
64,2000,2.3904e-05,1.088e-06
64,2000,2.3424e-05,1.376e-06
64,2000,2.336e-05,1.12e-06
64,2000,2.2912e-05,1.056e-06
64,20000,3.6064e-05,1.056e-06
64,20000,3.7504e-05,1.088e-06
64,20000,3.6032e-05,1.056e-06
64,20000,3.504e-05,1.056e-06
64,20000,3.6032e-05,1.088e-06
64,20000,3.5552e-05,1.088e-06
64,20000,3.6128e-05,1.056e-06
64,20000,3.5232e-05,1.056e-06
64,20000,3.6256e-05,1.248e-06
64,20000,3.5648e-05,1.056e-06
64,200000,0.000277152,1.056e-06
64,200000,0.000164352,1.056e-06
64,200000,0.000170304,1.056e-06
64,200000,0.000162944,1.056e-06
64,200000,0.000172864,1.056e-06
64,200000,0.000163296,1.056e-06
64,200000,0.000163552,1.056e-06
64,200000,0.000162816,1.056e-06
64,200000,0.000163552,1.056e-06
64,200000,0.00017232,1.056e-06
128,2000,2.5952e-05,1.056e-06
128,2000,2.3904e-05,1.056e-06
128,2000,2.432e-05,1.056e-06
128,2000,2.4448e-05,1.088e-06
128,2000,2.288e-05,1.088e-06
128,2000,2.32e-05,1.088e-06
128,2000,2.2336e-05,1.056e-06
128,2000,2.4256e-05,1.056e-06
128,2000,2.4032e-05,1.056e-06
128,2000,2.2176e-05,1.056e-06
128,20000,3.7664e-05,1.056e-06
128,20000,3.504e-05,1.056e-06
128,20000,3.5904e-05,1.088e-06
128,20000,3.7536e-05,1.056e-06
128,20000,3.5168e-05,1.088e-06
128,20000,3.5968e-05,1.056e-06
128,20000,3.6352e-05,1.056e-06
128,20000,3.504e-05,1.056e-06
128,20000,3.5776e-05,1.056e-06
128,20000,3.5872e-05,1.088e-06
128,200000,0.00028128,1.056e-06
128,200000,0.00016384,1.056e-06
128,200000,0.000164096,1.376e-06
