n_ops, gpu, cpu
65536,6.144e-06,5.7536e-05
65536,5.792e-06,6.656e-05
131072,5.12e-06,0.000108576
131072,5.12e-06,0.00010752
131072,6.144e-06,0.000113536
131072,5.696e-06,0.000150528
131072,5.984e-06,0.000117472
131072,5.92e-06,0.00016384
131072,6.144e-06,0.00011776
131072,6.144e-06,0.000162656
131072,5.088e-06,0.000116992
131072,6.048e-06,0.000151552
262144,6.144e-06,0.000294176
262144,6.144e-06,0.000284672
262144,6.016e-06,0.000266336
262144,5.024e-06,0.000235168
262144,6.144e-06,0.000234624
262144,6.08e-06,0.000222048
262144,6.176e-06,0.000227488
262144,6.112e-06,0.000217088
262144,5.12e-06,0.00022672
262144,5.984e-06,0.0002304
524288,6.144e-06,0.00043008
524288,5.76e-06,0.000643104
524288,5.12e-06,0.00052688
524288,5.088e-06,0.000456
524288,5.728e-06,0.00045392
524288,5.952e-06,0.000464576
524288,6.144e-06,0.001223392
524288,6.112e-06,0.000428768
524288,6.144e-06,0.000658176
524288,5.12e-06,0.000429056
1048576,6.112e-06,0.001086464
1048576,5.12e-06,0.000907424
1048576,6.144e-06,0.001294112
1048576,5.92e-06,0.000906464
1048576,5.76e-06,0.00105984
1048576,8.192e-06,0.000870752
1048576,6.08e-06,0.000864928
1048576,5.088e-06,0.001311264
1048576,5.728e-06,0.000892
1048576,6.08e-06,0.000856064
2097152,6.144e-06,0.001813472
2097152,5.888e-06,0.001773344
2097152,5.12e-06,0.001822752
2097152,5.12e-06,0.002054464
2097152,6.144e-06,0.001812544
2097152,6.144e-06,0.001783552
2097152,6.144e-06,0.001785856
2097152,6.144e-06,0.0020992
2097152,6.144e-06,0.002135616
2097152,5.888e-06,0.001807008
4194304,5.12e-06,0.003417344
4194304,6.144e-06,0.003440576
4194304,5.12e-06,0.003979264
4194304,6.144e-06,0.003597312
4194304,6.144e-06,0.00352288
4194304,5.76e-06,0.003543904
4194304,6.144e-06,0.003500288
4194304,5.856e-06,0.003621984
4194304,6.976e-06,0.003696896
4194304,5.888e-06,0.003578848
8388608,5.12e-06,0.00820464
8388608,5.824e-06,0.01024922
8388608,6.144e-06,0.00802304
8388608,6.144e-06,0.007023648
8388608,5.984e-06,0.007322592
8388608,6.144e-06,0.008507424
8388608,6.144e-06,0.007822368
8388608,7.168e-06,0.00710144
8388608,6.144e-06,0.009277088
8388608,6.112e-06,0.007928
16777216,6.016e-06,0.01537443
16777216,6.144e-06,0.01392275
16777216,6.848e-06,0.01574378
16777216,1.008e-05,0.0159064
16777216,6.144e-06,0.01599466
16777216,5.76e-06,0.01627728
16777216,8.192e-06,0.01451597
16777216,6.688e-06,0.01482752
16777216,7.2e-06,0.01617408
16777216,7.168e-06,0.01523405
33554432,7.168e-06,0.03038515
33554432,6.144e-06,0.0291121
33554432,1.2288e-05,0.03029411
33554432,7.168e-06,0.02883789
33554432,7.008e-06,0.02963686
33554432,6.144e-06,0.0277975
33554432,6.688e-06,0.03254272
33554432,1.2832e-05,0.03236557
33554432,9.024e-06,0.03313453
33554432,6.144e-06,0.03039232
67108864,7.136e-06,0.06166019
67108864,7.776e-06,0.06039552
67108864,1.1936e-05,0.05827338
